RecID,Release year,Rank,Title,Studio,Clean release date,Tickets sold,Bechdel Test Result,Executive Producer 1,Executive Producer 2,Executive Producer 3,Executive Producer 4,Executive Producer 5,Executive Producer 6,Executive Producer 7,Executive Producer 8,Executive Producer 9,Director 1,Director 2,Director 3
226,2009,1,Avatar,Fox,12/18/2009,99968819,Fail,,,,,,,,,,,,
227,2009,2,Transformers: Revenge of the Fallen,P/DW,6/24/2009,53614916,Pass,Michael Bay,Steven Spielberg,,Brian Goldner,Mark Vahradian,,,,,Michael Bay,,
228,2009,3,Harry Potter and the Half-Blood Prince,WB,7/15/2009,40261227,Pass,Lionel Wigram,,,,,,,,,David Yates,,
229,2009,4,The Twilight Saga: New Moon,Sum.,11/20/2009,39549818,No Data,,,,,,,,,,,,
230,2009,5,Up,BV,5/29/2009,39067222,Fail,,,,,,,,,,,,
231,2009,6,The Hangover,WB,6/5/2009,36976334,Fail,,,,,,,,,,,,
232,2009,7,Star Trek,Par.,5/8/2009,34364003,Pass,Bryan Burk,Jeffrey Chernov,Roberto Orci,,,,,,,J.J. Abrams,,
233,2009,8,The Blind Side,WB,11/20/2009,34127930,Fail,,,,,,,,,,,,
234,2009,9,Alvin and the Chipmunks: The Squeakquel,Fox,12/23/2009,29281949,No Data,,,,,,,,,,,,
235,2009,10,Sherlock Holmes,WB,12/25/2009,27870491,Fail,,,,,,,,,,,,
236,2009,11,Monsters Vs. Aliens,P/DW,3/27/2009,26446871,Pass,Lisa Stewart,,,,,,,,,Rob Letterman,Conrad Vernon,
237,2009,12,Ice Age: Dawn of the Dinosaurs,Fox,7/1/2009,26209828,Fail,,,,,,,,,,,,
238,2009,13,X-Men Origins: Wolverine,Fox,5/1/2009,23984421,Fail,,,,,,,,,,,,
239,2009,14,Night at the Museum: Battle of the Smithsonian,Fox,5/22/2009,23632497,Pass,Mark Radcliffe,Josh McLaglen,Thomas M. Hammel,,,,,,,Shawn Levy,,
240,2009,15,2012,Sony,11/13/2009,22148289,Fail,,,,,,,,,,,,
241,2009,16,The Proposal,BV,6/19/2009,21861071,Fail,,,,,,,,,,,,
242,2009,17,Fast and Furious,Uni.,4/3/2009,20675236,No Data,,,,,,,,,,,,
243,2009,18,G.I. Joe: The Rise of Cobra,Par.,8/7/2009,20026867,Fail,,,,,,,,,,,,
244,2009,19,Paul Blart: Mall Cop,Sony,1/16/2009,19511491,No Data,,,,,,,,,,,,
245,2009,20,Taken,Fox,1/30/2009,19333466,Pass,Didier Hoarau,,,,,,,,,Pierre Morel,,
246,2009,21,A Christmas Carol (2009),BV,11/6/2009,18380782,No Data,,,,,,,,,,,,
247,2009,22,Angels & Demons,Sony,5/15/2009,17783447,Fail,,,,,,,,,,,,
248,2009,23,Terminator Salvation,WB,5/21/2009,16709663,Fail,,,,,,,,,,,,
249,2009,24,Cloudy with a Chance of Meatballs,Sony,9/18/2009,16649370,Fail,,,,,,,,,,,,
250,2009,25,Inglourious Basterds,Wein.,8/21/2009,16072096,Fail,,,,,,,,,,,,
251,2010,1,Toy Story 3,BV,6/18/2010,52598845,Fail,,,,,,,,,,,,
252,2010,2,Alice in Wonderland (2010),BV,3/5/2010,42356288,Pass,Chris Lebenzon,Peter M. Tobyansen,,,,,,,,Tim Burton,,
253,2010,3,Iron Man 2,Par.,5/7/2010,39598648,Pass,Louis D'Esposito,Susan Downey,Jon Favreau,Alan Fine,Stan Lee,David Maisel,Denis L. Stewart,,,Jon Favreau,,
254,2010,4,The Twilight Saga: Eclipse,Sum.,6/30/2010,38090210,Pass,Mark Morgan,Greg Mooradian,Marty Bowen,Guy Oseary,,,,,,David Slade,,
255,2010,5,Harry Potter and the Deathly Hallows Part 1,WB,11/19/2010,37513727,Pass,J. K. Rowling,David Heyman,David Barron,,,,,,,David Yates,,
256,2010,6,Inception,WB,7/16/2010,37081901,Fail,,,,,,,,,,,,
