RecID,Release year,Rank,Title,Studio,Release_date,Tickets_sold,Bechdel_Test_Result,Executive_Prod_1,Executive_Prod_2,Executive_Prod_3,Executive_Prod_4,Executive_Prod_5,Executive_Prod_6,Executive_Prod_7,Executive_Prod_8,Executive_Prod_9,Director_1,Director_2,Director_3
1,2000,1,How the Grinch Stole Christmas,Uni.,11/17/00,48245794,No Data,,,,,,,,,,,,
2,2000,2,Cast Away,Fox,12/22/00,43345481,Fail,,,,,,,,,,,,
3,2000,3,Mission: Impossible II,Par.,5/24/00,39964729,Fail,,,,,,,,,,,,
4,2000,4,Gladiator,DW,5/5/00,34824755,Fail,,,,,,,,,,,,
5,2000,5,What Women Want,Par.,12/15/00,33916829,Fail,,,,,,,,,,,,
6,2000,6,The Perfect Storm,WB,6/30/00,33880972,No Data,,,,,,,,,,,,
7,2000,7,Meet the Parents,Uni.,10/6/00,30843052,Fail,,,,,,,,,,,,
8,2000,8,X-Men,Fox,7/14/00,29183621,Fail,,,,,,,,,,,,
9,2000,9,Scary Movie,Mira.,7/7/00,29131683,Pass,Brad Grey,Cary Granat,Bob Weinstein,Harvey Weinstein,,,,,,Keenen Ivory Wayans,,
10,2000,10,What Lies Beneath,DW,7/21/00,28843108,Pass,Mark Johnson,Joan Bradshaw,,,,,,,,Robert Zemeckis,,
11,2000,11,Dinosaur,BV,5/19/00,25556227,Pass,Pam Marsden,Baker Bloodworth,,,,,,,,Eric Leighton,Ralph Zondag,
12,2000,12,"Crouching Tiger, Hidden Dragon",SPC,12/8/00,23762314,Pass,David Linde,James Schamus,,,,,,,,Ang Lee,,
13,2000,13,Erin Brockovich,Uni.,3/17/00,23301523,Pass,Carla Santos ,John Hardy,,,,,,,,Steven Soderbergh,,
14,2000,14,Charlie's Angels,Sony,11/3/00,23247783,Pass,Joseph M. Caracciolo,Aaron Spelling,Jenno Topping,Betty Thomas,,,,,,McG,,
15,2000,15,Traffic,USA,12/27/00,23027037,No Data,,,,,,,,,,,,
16,2000,16,The Nutty Professor II: The Klumps,Uni.,7/28/00,22877531,No Data,,,,,,,,,,,,
17,2000,17,Big Momma's House,Fox,6/2/00,21810657,No Data,,,,,,,,,,,,
18,2000,18,Remember the Titans,BV,9/29/00,21457283,Fail,,,,,,,,,,,,
19,2000,19,The Patriot,Sony,6/28/00,21026038,Fail,,,,,,,,,,,,
20,2000,20,Chicken Run,DW,6/23/00,19820884,Pass,Jake Eberts,Jeffery Katzenberg,Michael Rose,,,,,,,Peter Lod,Nick Parl,
21,2000,21,Miss Congeniality,WB,12/22/00,19815894,Pass,Bruce Berman,Marc Lawrence,Ginger Sledge,,,,,,,Donald Petrie,,
22,2000,22,Gone in 60 Seconds,BV,6/9/00,18858734,Fail,,,,,,,,,,,,
23,2000,23,Unbreakable,BV,11/22/00,17627336,Fail,,,,,,,,,,,,
24,2000,24,"Me, Myself and Irene",Fox,6/23/00,16803525,No Data,,,,,,,,,,,,
25,2000,25,Space Cowboys,WB,8/4/00,16783817,Fail,,,,,,,,,,,,
