year,passtickets,womenCong,BetterMan
2000," 193,479,416 ",12.5,58.4
2001," 327,559,803 ",12.5,59.4
2002," 206,321,547 ",14,60.3
2003," 265,787,633 ",14,61.4
2004," 352,909,556 ",14.4,62.4
2005," 194,933,155 ",14.4,63.2
2006," 173,954,006 ",15.9,64
2007," 293,780,669 ",15.9,63.9
2008," 150,133,991 ",17.6,63.7
2009," 197,652,980 ",17.6,64
2010," 383,923,854 ",17.9,64.2
2011," 324,879,834 ",17.9,65.9
2012," 270,891,996 ",17.9,67.6
2013," 378,928,356 ",17.9,68
